"Player","Role","Team","Opponent_Team","Opponent_Player","Date","Round","Day","Patch","Stage","No_Game","all_Games","Format","Game_of_day","Side","Time","Ban","Ban_Opponent","Pick","Pick_Opponent","Champion","Champion_Opponent","Outcome","Kills_Team","Turrets_Team","Dragon_Team","Baron_Team","Level","Kills","Deaths","Assists","KDA","CS","CS in Team's Jungle","CS in Enemy Jungle","CSM","Golds","GPM","GOLD%","Vision Score","Wards placed","Wards destroyed","Control Wards Purchased","Detector Wards Placed","VSPM","WPM","VWPM","WCPM","VS%","Total damage to Champion","Physical Damage","Magic Damage","True Damage","DPM","DMG%","K+A Per Minute","KP%","Solo kills","Double kills","Triple kills","Quadra kills","Penta kills","GD@15","CSD@15","XPD@15","LVLD@15","Objectives Stolen","Damage dealt to turrets","Damage dealt to buildings","Total heal","Total Heals On Teammates","Damage self mitigated","Total Damage Shielded On Teammates","Time ccing others","Total Time CC Dealt","Total damage taken","Total Time Spent Dead","Consumables purchased","Items Purchased","Shutdown bounty collected","Shutdown bounty lost"
"Sheo","JUNGLE","BDS","MDK","Elyoya","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Blue","0:38:00","Varus","Ezreal","Zyra","Zeri","Zyra","Taliyah","Win","17","8","3","1","16","6","4","8","3.5","220","192","0","5.8","14628","385","19.8","47","6","13","5","4","1.24","0.16","0.13","0.34","14.2","39778","843","34824","4111","1047","33.4","0.37","82.4","0","2","0","0","0","315","15","790","1","0","2638","2638","6435","0","11132","0","57","819","18340","133","6","25","800","150"
"nuc","MID","BDS","MDK","Fresskowy","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Blue","0:38:00","Sejuani","Alistar","Corki","Tristana","Corki","Tristana","Win","17","8","3","1","18","6","1","7","13","395","8","0","10.4","18323","482","24.8","55","8","18","6","4","1.45","0.21","0.16","0.47","16.7","34677","25089","6178","3410","913","29.1","0.34","76.5","1","0","1","0","0","697","13","732","1","0","9178","9178","8757","0","12757","0","4","74","18792","35","7","29","0","200"
"Ice","ADCARRY","BDS","MDK","Supa","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Blue","0:38:00","Twisted_Fate","Kaisa","Aphelios","Braum","Aphelios","Zeri","Win","17","8","3","1","18","3","1","6","9","406","40","0","10.7","18225","480","24.7","52","17","14","7","6","1.37","0.45","0.18","0.37","15.8","24846","23669","757","420","654","20.9","0.24","52.9","0","0","0","0","0","522","11","366","1","0","12528","12528","11248","0","19540","0","14","122","17515","54","8","24","100","250"
"Labrov","SUPPORT","BDS","MDK","Alvaro","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Blue","0:38:00","Neeko","Jinx","Renekton","Poppy","Rell","Braum","Win","17","8","3","1","13","0","5","11","2.2","35","0","0","0.9","8952","236","12.1","137","62","19","19","17","3.61","1.63","0.5","0.5","41.5","5558","530","3958","1070","146","4.7","0.29","64.7","0","0","0","0","0","49","3","223","1","0","263","263","1615","0","27046","0","32","52","30147","161","21","39","0","0"
"Myrwn","TOP","MDK","BDS","Adam","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Red","0:38:00","Rumble","Vi","Taliyah","Rell","Poppy","Renekton","Loss","17","7","1","1","17","1","1","11","12","228","0","0","6","12506","329","17.5","46","17","6","3","3","1.21","0.45","0.08","0.16","13.5","17690","10333","6701","656","466","18.2","0.32","70.6","0","0","0","0","0","-774","-22","-53","0","0","3293","3293","3411","0","73577","0","30","681","41558","0","4","25","50","0"
"Elyoya","JUNGLE","MDK","BDS","Sheo","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Red","0:38:00","Ezreal","Varus","Zeri","Zyra","Taliyah","Zyra","Loss","17","7","1","1","16","4","5","12","3.2","212","199","0","5.6","13405","353","18.8","53","15","8","17","15","1.39","0.39","0.45","0.21","15.6","21264","412","19141","1711","560","21.9","0.42","94.1","0","1","0","0","0","-315","-15","-790","-1","0","538","538","7125","0","7316","0","28","983","20564","204","19","35","0","300"
"Fresskowy","MID","MDK","BDS","nuc","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Red","0:38:00","Alistar","Sejuani","Tristana","Corki","Tristana","Corki","Loss","17","7","1","1","18","5","4","5","2.5","364","20","0","9.6","17767","468","24.9","46","19","6","6","6","1.21","0.5","0.16","0.16","13.5","15987","13886","1607","494","421","16.5","0.26","58.8","0","1","0","0","0","-697","-13","-732","-1","0","13209","13209","6764","0","11511","0","5","171","21498","94","7","27","150","600"
"Supa","ADCARRY","MDK","BDS","Ice","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Red","0:38:00","Kaisa","Twisted_Fate","Braum","Aphelios","Zeri","Aphelios","Loss","17","7","1","1","18","6","1","6","12","399","20","0","10.5","18217","479","25.5","54","11","18","1","1","1.42","0.29","0.03","0.47","15.9","33848","23078","9858","912","891","34.8","0.32","70.6","0","2","0","0","0","-522","-11","-366","-1","0","7334","7334","12123","0","9595","0","10","153","20150","61","3","21","450","700"
"Alvaro","SUPPORT","MDK","BDS","Labrov","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Red","0:38:00","Jinx","Neeko","Poppy","Renekton","Braum","Rell","Loss","17","7","1","1","12","1","6","13","2.3","30","0","0","0.8","9579","252","13.4","141","69","19","21","19","3.71","1.82","0.55","0.5","41.5","8336","875","7277","184","219","8.6","0.37","82.4","0","0","0","0","0","-49","-3","-223","-1","0","370","370","2736","663","26619","2085","47","213","43170","100","23","41","0","0"
"Adam","TOP","BDS","MDK","Myrwn","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Blue","0:42:39","Vi","Rumble","Zyra","Zeri","Renekton","KSante","Win","17","8","1","2","18","0","7","4","0.6","326","0","0","7.6","15165","356","18","45","15","11","10","9","1.06","0.35","0.23","0.26","11.6","14505","12457","1902","146","340","10.7","0.09","23.5","0","0","0","0","0","-582","9","-670","-1","0","4399","4399","9045","0","54052","0","21","91","41834","281","14","36","0","0"
"Sheo","JUNGLE","BDS","MDK","Elyoya","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Blue","0:42:39","Varus","Ezreal","Corki","Tristana","Zyra","Taliyah","Win","17","8","1","2","18","3","5","10","2.6","264","212","0","6.2","15495","363","18.4","70","9","29","5","5","1.64","0.21","0.12","0.68","18","35915","848","30327","4740","842","26.6","0.3","76.5","0","0","0","0","0","-89","5","-48","0","0","1244","1244","10394","638","16616","0","48","658","27451","160","6","26","0","100"
"nuc","MID","BDS","MDK","Fresskowy","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Blue","0:42:39","Sejuani","Rell","Jinx","Taliyah","Corki","Tristana","Win","17","8","1","2","18","5","2","8","6.5","343","13","0","8","19554","458","23.2","65","20","20","6","5","1.52","0.47","0.14","0.47","16.8","42872","31401","6457","5014","1005","31.7","0.3","76.5","1","0","0","0","0","-582","-24","-213","0","0","6081","6081","10042","0","18326","0","4","113","27244","104","9","29","900","50"
"Ice","ADCARRY","BDS","MDK","Supa","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Blue","0:42:39","Twisted_Fate","Nautilus","Blitzcrank","Rakan","Jinx","Zeri","Win","17","8","1","2","18","8","2","4","6","463","35","0","10.9","23197","544","27.5","68","18","29","4","3","1.59","0.42","0.09","0.68","17.5","34157","32210","604","1343","801","25.3","0.28","70.6","0","1","1","0","0","-421","3","-95","0","0","8147","8147","15157","0","18402","0","23","301","28843","104","6","34","1300","500"
"Labrov","SUPPORT","BDS","MDK","Alvaro","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Blue","0:42:39","Neeko","Alistar","Renekton","KSante","Blitzcrank","Rakan","Win","17","8","1","2","16","1","6","12","2.2","38","2","0","0.9","10963","257","13","140","84","18","26","23","3.28","1.97","0.61","0.42","36.1","7729","1241","5250","1238","181","5.7","0.3","76.5","0","0","0","0","0","79","0","131","0","0","143","143","948","0","37795","1424","41","215","41386","152","30","46","0","0"
"Myrwn","TOP","MDK","BDS","Adam","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Red","0:42:39","Rumble","Vi","Zeri","Zyra","KSante","Renekton","Loss","22","8","5","1","18","3","3","8","3.7","283","0","0","6.6","15321","359","18.3","49","15","11","8","8","1.15","0.35","0.19","0.26","10.9","20051","13586","5228","1237","470","14.9","0.26","50","0","0","0","0","0","582","-9","670","1","0","3241","3241","10743","0","88883","1476","32","1651","47494","107","9","30","0","200"
"Elyoya","JUNGLE","MDK","BDS","Sheo","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Red","0:42:39","Ezreal","Varus","Tristana","Corki","Taliyah","Zyra","Loss","22","8","5","1","18","6","3","13","6.3","285","249","0","6.7","16651","390","19.9","79","17","18","16","15","1.85","0.4","0.38","0.42","17.5","31360","382","27765","3213","735","23.4","0.45","86.4","0","1","0","0","0","89","-5","48","0","0","2678","2678","13228","0","16446","0","31","1098","29217","108","18","35","0","400"
"Fresskowy","MID","MDK","BDS","nuc","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Red","0:42:39","Rell","Sejuani","Taliyah","Jinx","Tristana","Corki","Loss","22","8","5","1","18","8","3","6","4.7","396","31","0","9.3","20699","485","24.7","61","21","11","7","6","1.43","0.49","0.16","0.26","13.5","39451","32831","2611","4009","925","29.4","0.33","63.6","0","1","0","0","0","582","24","213","0","0","11607","11607","11833","0","18349","0","7","164","24265","126","11","31","550","900"
"Supa","ADCARRY","MDK","BDS","Ice","7/12/2024","1","1","v14.13","Summer_Playoffs_24","3","3","3","5","Red","0:42:39","Nautilus","Twisted_Fate","Rakan","Blitzcrank","Zeri","Jinx","Loss","22","8","5","1","18","5","2","13","9","456","38","0","10.7","21076","494","25.2","75","18","22","4","4","1.76","0.42","0.09","0.52","16.6","38389","24989","12047","1353","900","28.6","0.42","81.8","0","0","0","0","0","421","-3","95","0","0","5109","5109","16369","0","16100","0","11","281","26685","8","6","29","100","700"
